code,lat,lon,country,capital
AD,42.546245,1.601554,Andorra,Andorra la Vella
AL,41.153332,20.168331,Albania,Tirana
AM,40.069099,45.038189,Armenia,Yerevan
AT,47.516231,14.550072,Austria,Vienna
BA,43.915886,17.679076,Bosnia and Herzegovina,Sarajevo
BE,50.503887,4.469936,Belgium,Brussels
BG,42.733883,25.48583,Bulgaria,Sofia
BY,53.709807,27.953389,Belarus,Minsk
CH,46.818188,8.227512,Switzerland,Bern
CY,35.126413,33.429859,Cyprus,Nicosia
CZ,49.817492,15.472962,Czech Republic,Prague
DE,51.165691,10.451526,Germany,Berlin
DK,56.26392,9.501785,Denmark,Copenhagen
ES,40.463667,-3.74922,Spain,Madrid
FI,61.92411,25.748151,Finland,Helsinki
FR,46.227638,2.213749,France,Paris
GB,55.378051,-3.435973,United Kingdom,London
GE,42.315407,43.356892,Georgia,Tbilisi
GI,36.137741,-5.345374,Gibraltar,Gibraltar
GR,39.074208,21.824312,Greece,Athens
HR,45.1,15.2,Croatia,Zagreb
HU,47.162494,19.503304,Hungary,Budapest
IE,53.41291,-8.24389,Ireland,Dublin
IS,64.963051,-19.020835,Iceland,Reykjavik
IT,41.87194,12.56738,Italy,Rome
LI,47.166,9.555373,Liechtenstein,Vaduz
LT,55.169438,23.881275,Lithuania,Vilnius
LU,49.815273,6.129583,Luxembourg,Luxemburg City
LV,56.879635,24.603189,Latvia,Riga
MC,43.750298,7.412841,Monaco,Monaco
ME,42.708678,19.37439,Montenegro,Podgorica
MK,41.608635,21.745275,Macedonia [FYROM],Skopje
MT,35.937496,14.375416,Malta,la Valleta
NO,60.472024,8.468946,Norway,Oslo
PL,51.919438,19.145136,Poland,Warsaw
PT,39.399872,-8.224454,Portugal,Lisbon
RO,45.943161,24.96676,Romania,Bucharest
RS,44.016521,21.005859,Serbia,Belgrade
RU,55.7558,37.6173,Russia,Moscow
SE,60.128161,18.643501,Sweden,Stockholm
SI,46.151241,14.995463,Slovenia,Ljubljana
SK,48.669026,19.699024,Slovakia,Bratislava
TR,38.963745,35.243322,Turkey,Ankara
UA,48.379433,31.16558,Ukraine,KIev
VA,41.902916,12.453389,Vatican City,Vatican City
XK,42.602636,20.902977,Kosovo,Pristina
ES,59.237,24.753,Estonia,Tallinn